Index,PositionType,PositionStatus,CareerTrack,Nationality,EducationLevel,Branch,PositionLevel,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Workload1,Workload2,Workload3,Workload4,PerformerCategory
9321,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9322,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9323,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9325,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9328,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9330,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9332,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9333,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9334,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9336,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9339,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9341,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9342,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9343,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9344,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9345,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9346,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9351,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9353,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9354,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9368,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9375,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9376,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9380,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9381,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9382,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9383,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9384,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9388,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9389,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9395,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9396,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9397,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9400,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9401,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9407,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9408,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9409,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9410,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9411,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9415,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9418,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9420,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9421,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9423,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9424,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9426,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9428,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9429,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9430,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9431,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9452,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9453,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9455,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9456,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9457,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9462,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9463,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9464,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9465,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9466,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9468,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9469,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9472,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9473,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9474,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9475,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9476,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9479,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9480,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9481,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9483,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9485,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9488,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9491,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9494,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9495,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9496,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9497,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9498,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9499,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9500,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9503,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9504,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9505,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9506,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9509,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9511,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9512,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9515,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9535,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9536,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9538,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9540,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9543,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9544,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9545,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9547,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9548,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9551,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9555,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9558,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9559,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9560,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9561,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9563,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9564,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9568,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9569,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9571,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9576,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9580,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9583,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9585,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9586,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9587,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9590,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9591,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9607,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9609,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9614,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9617,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9618,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9619,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9620,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9622,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9623,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9624,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
